Name,Event,Description,Cost,Duration,Difficulty,Date,Time,Address,Ticket_URL,Keywords
Beat The Bomb Brooklyn,Paint Bomb Mission,"Teams of 2–6 suit up in hazmat gear and progress through five high-tech video game rooms to earn time to disarm a giant 6-gallon paint bomb; fail and you get blasted. Games include multi-screen communication, a laser maze, listening challenges, movement/grid puzzles, and a final bomb-robot maze to capture the deactivation code.",39.95,60 min,N/A,2026-04-30,Various times,"255 Water St, Brooklyn, NY 11201, USA",https://brktickets.beatthebomb.com/bknyc/en-us/product/1771990,"escape_room, puzzle, challenge, teamwork, immersive, interactive, energetic, groups, paint-bomb, laser-maze, video-game-rooms"
Beat The Bomb Brooklyn,Foam Bomb Mission,"Teams of 2–6 suit up in hazmat gear and advance through five high-tech game rooms to earn time to disarm a giant 6-gallon foam bomb or be blasted. Challenges include sequence/timing puzzles, a crypto laser maze, reaction/memory games, and a final block-smashing room to crack the code.",39.95,60 min,N/A,2026-04-30,Various times,"255 Water St, Brooklyn, NY 11201, USA",https://brktickets.beatthebomb.com/bknyc/en-us/product/1771990,"escape_room, puzzle, challenge, immersive, teamwork, energetic, groups, foam-bomb, hazmat-gear, laser-maze"
Beat The Bomb Brooklyn,Slime Bomb Mission,"Teams of 2–6 suit up in hazmat gear and work through five themed video game rooms to earn time to disarm a giant 6-gallon slime bomb or get blasted. Rooms feature games like Space Junk, Laser Vault, Word Bank, Avoidance, and Meltdown that test memory, agility, and teamwork.",39.95,60 min,N/A,2026-04-30,Various times,"255 Water St, Brooklyn, NY 11201, USA",https://brktickets.beatthebomb.com/bknyc/en-us/product/1771990,"escape_room, puzzle, teamwork, immersive, interactive, groups, video-game-rooms, slime-bomb, hazmat-challenge"
Beat The Bomb Brooklyn,Arcade Bomb Battle,"An interactive tournament-style experience for 3–12 players featuring eight rounds of gameplay, a semi-final, and a grand finale where teams compete head-to-head in a variety of arcade-style games. Played in a 3-walled private arcade bay with food and drinks available, it emphasizes competition and team scoring across 15+ unique mini-games.",29.95,90 min,N/A,2026-04-30,Various times,"255 Water St, Brooklyn, NY 11201, USA",https://brktickets.beatthebomb.com/bknyc/en-us/product/1111945,"escape_room, puzzle, challenge, teamwork, interactive, energetic, groups, arcade-games, tournament, competitive"
The Escape Game NYC (Times Square),The Heist,"Infiltrate a post-impressionist gallery to recover a stolen Monet from a shady curator, bypass security, and escape undetected. The game plays like a spy movie with multi-room immersion and cinematic puzzles.",N/A,60 min,8/10,2026-04-30,Various times,"1619 Broadway, New York, NY 10019, USA",https://theescapegame.com/newyorkcity/book-now/times-square/,"escape_room, puzzle, immersive, teamwork, challenging, groups, spy-heist, art-gallery-mission, cinematic-puzzles"
The Escape Game NYC (Times Square),Legend of the Yeti,"Explore an abandoned Himalayan outpost to uncover the fate of a vanished expedition and search for a legendary jewel while contending with an ancient threat. The room features immersive snow effects and a cold, high-altitude atmosphere.",N/A,60 min,8/10,2026-04-30,Various times,"1619 Broadway, New York, NY 10019, USA",https://theescapegame.com/newyorkcity/book-now/times-square/,"escape_room, puzzle, immersive, adventure, challenge, groups, team-building, yeti-mystery, himalayan-expedition"
The Escape Game NYC (Times Square),Cosmic Crisis,"You’re aboard a spaceship racing toward a galaxy-eating black hole and must sabotage systems, override protocols, and weaponize antimatter to save the galaxy. The game uses projection mapping and an in-game AI for a high-tech space thriller.",N/A,60 min,7/10,2026-04-30,Various times,"1619 Broadway, New York, NY 10019, USA",https://theescapegame.com/newyorkcity/book-now/times-square/,"escape_room, puzzle, immersive, challenge, teamwork, groups, sci-fi, high-tech-gameplay"
The Escape Game NYC (Times Square),Prison Break,"Locked in a 1950s-era prison and split into two cells, your team must decipher clues, navigate secret passages, and outwit a nefarious warden to earn freedom. This is the venue’s toughest, most challenging escape experience.",N/A,60 min,9/10,2026-04-30,Various times,"1619 Broadway, New York, NY 10019, USA",https://theescapegame.com/newyorkcity/book-now/times-square/,"escape_room, puzzle, challenge, teamwork, immersive, brain-teaser, energetic, groups, 1950s-prison, secret-passages"
The Escape Game NYC (Times Square),The Depths,"Descend in a submarine to investigate a deep-sea laboratory that’s gone dark, uncover cryptic notes and strange experiments, and survive whatever lurks beneath. The game emphasizes crew collaboration and a surprising cooperative puzzle.",N/A,60 min,7/10,2026-04-30,Various times,"1619 Broadway, New York, NY 10019, USA",https://theescapegame.com/newyorkcity/book-now/times-square/,"escape_room, puzzle, immersive, teamwork, challenging, groups, submarine, deep-sea-mystery"
The Escape Game NYC (Times Square),Ruins: Forbidden Treasure,"After crashing in a dense jungle, explore ancient Ehlari ruins to find a fabled treasure while avoiding temple traps and hidden dangers. The game features cinematic, movie-level sets and classic adventure themes.",N/A,60 min,6/10,2026-04-30,Various times,"1619 Broadway, New York, NY 10019, USA",https://theescapegame.com/newyorkcity/book-now/times-square/,"escape_room, puzzle, adventure, immersive, challenging, groups, temple-traps, jungle-treasure"
Tidal Force VR,Escape,A sci‑fi escape experience that puts players in the crew of a damaged spacecraft — repair critical systems (including a nuclear reactor) and escape impending catastrophe such as a collapsing black hole. The game emphasizes physics-based interaction and teamwork in a high‑stakes space environment.,57.44,40 min,N/A,2026-04-30,Various times,"166 5th Ave 2 Floor, New York, NY 10010, USA",https://tidalforcevr.com/,"escape_room, puzzle, immersive, teamwork, challenging, groups, sci-fi-spacecraft, physics-based, nuclear-reactor"
