Name,Event,Description,Cost,Date,Time,Address,Ticket_URL,Keywords
Rodney's Comedy Club,Tony Dabas Connor King Ted Barton Hannah Jones and more,"A nightly stand-up showcase at Rodney’s Comedy Club featuring Tony Dabas, Connor King, Ted Barton, Hannah Jones and other comedians. Expect a lineup of short stand-up sets and surprise guests in an intimate NYC comedy room.",$20,2026-05-01,8:30 PM,"1118 1st Ave, New York, NY 10065, USA",https://rodneysnewyorkcomedyclub.com/shows/friday-night-laughs-at-rodneys-4,"comedy, stand-up, humor, comedian, intimate, adults, groups, stand-up-showcase, surprise-guests"
Rodney's Comedy Club,Kevin Brennan Reverend Bob Levy and more !,A headline show starring Kevin Brennan with Reverend Bob Levy and additional performers. The event features curated stand-up sets from established and rising comedians in the club.,$25,2026-05-02,8:00 PM,"1118 1st Ave, New York, NY 10065, USA",https://rodneysnewyorkcomedyclub.com/shows/kevin-brennan-reverend-bob-levy-and-more-,"comedy, stand-up, humor, comedian, energetic, adults, groups, headliner-show, stand-up-comedy"
Comedy Village,Times Square Comedy,"A late-night, edgier stand-up showcase featuring seasoned NYC comics and surprise drop-ins for a one-night-only feel.",$25.00,2026-04-30,9:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-thur-april-30th-9-pm/,"comedy, stand-up, humor, late-night, energetic, adults, surprise-guests, edgy-comedy"
Comedy Village,NYC Stand-Up,Prime-time Friday night stand-up with a curated lineup of NYC comedians who have appeared on major TV and streaming platforms.,$28.00,2026-05-01,8:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/nyc-stand-up-fri-may-1st-8-pm/,"comedy, stand-up, comedian, energetic, adults, rowdy, friday-night, tv-comedians"
Comedy Village,Times Square Comedy,"A lively late show built for serious comedy fans and New York night owls, featuring punchy sets and surprise guests.",$28.00,2026-05-01,10:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-friday-may-1st-10-pm/,"comedy, stand-up, humor, late-night, energetic, adults, surprise-guests, comedy-sets"
Comedy Village,NYC Stand-Up,"A late-late show offering bold, unfiltered stand-up and high-energy crowd interaction to close out the night.",$28.00,2026-05-01,11:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/nyc-stand-up-fri-may-1st-11-pm/,"comedy, stand-up, humor, late-night, energetic, adults, rowdy, unfiltered-comedy, high-energy-crowd"
Comedy Village,Times Square Comedy,An 8 PM Saturday showcase capturing full weekend energy with fast-paced sets from club regulars and touring headliners.,$28.00,2026-05-02,8:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-saturday-may-2nd-8-pm/,"comedy, stand-up, humor, energetic, rowdy, groups, touring-headliners, comedy-showcase"
Comedy Village,Times Square Comedy,A louder late show featuring a mix of touring headliners and surprise drop-ins for a high-energy Saturday night experience.,$28.00,2026-05-02,10:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/times-square-comedy-saturday-may-2nd-10-pm/,"comedy, stand-up, comedian, late-night, energetic, groups, touring-headliners, surprise-guests"
Comedy Village,NYC Stand-Up,"An 11 PM late show aimed at night owls with unfiltered, crowd-driven stand-up and big personalities.",$28.00,2026-05-02,11:00 PM,"352 W 44th St, Manhattan, NY 10036, USA",https://comedyvillage.com/event/nyc-stand-up-saturday-may-2nd-11-pm/,"comedy, stand-up, humor, late-night, energetic, adults, rowdy, crowd-work, unfiltered-comedy"
Comedy In Harlem,CERTIFIED MONSTERZ LIVE AT COMEDY IN HARLEM,"A high-energy Monsterz Ball comedy night featuring a stacked lineup including Kareem Smith, Kareem Green, John Ovalles, PJ Bryan, and Rashad Bashir. Expect nonstop laughs and raw NYC comedy energy.",N/A,2026-05-01,8:00 PM,"750A St Nicholas Ave, New York, NY 10031, USA",https://www.comedyinharlem.com/shows/365262,"comedy, stand-up, humor, energetic, rowdy, groups, adults, monsterz-ball, raw-comedy"
Comedy In Harlem,MONSTERZ PRESENTS: THE BEST OF BOTH WORLDS,"A curated showcase headlined by Isiah Kelly with a diverse lineup (Reggie Kush, Gadiel Del Orbe, Nemo, Soo-Ra, JJ Mattise) blending different comedic styles and perspectives. Promises a lively, culture-driven night of stand-up.",N/A,2026-05-02,8:00 PM,"750A St Nicholas Ave, New York, NY 10031, USA",https://www.comedyinharlem.com/shows/365264,"comedy, stand-up, humor, sketch, energetic, groups, diverse-comedy, culture-driven"
Comedy In Harlem,LOS MONSTROZ LIVE AT COMEDY IN HARLEM,"A late-night, high-energy comedy show featuring For Dha Money, P.J. Bryan, and Big Rhed, delivering bold sets and authentic Harlem nightlife vibes. Ideal for late-night audiences looking for big laughs.",N/A,2026-05-02,10:30 PM,"750A St Nicholas Ave, New York, NY 10031, USA",https://www.comedyinharlem.com/shows/365265,"comedy, stand-up, humor, late-night, energetic, adults, groups, harlem-comedy, bold-comedy"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up comedy showcase at High Line Comedy Club paired with an on-site round of mini-golf. Shows are 21+ with a food/drink minimum and typically feature both established and rising comedians.,From $26.00,2026-05-01,7:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, energetic, casual, adults, date-night, mini-golf, comedian-showcase"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up comedy showcase at High Line Comedy Club paired with an on-site round of mini-golf. Shows are 21+ with a food/drink minimum and typically feature both established and rising comedians.,From $26.00,2026-05-01,9:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, mini-golf, energetic, adults, date-night, comedian-showcase, interactive-fun"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up comedy showcase at High Line Comedy Club paired with an on-site round of mini-golf. Shows are 21+ with a food/drink minimum and typically feature both established and rising comedians.,From $26.00,2026-05-02,7:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, energetic, casual, adults, date-night, mini-golf, comedy-showcase"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up comedy showcase at High Line Comedy Club paired with an on-site round of mini-golf. Shows are 21+ with a food/drink minimum and typically feature both established and rising comedians.,From $26.00,2026-05-02,9:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, energetic, casual, adults, date-night, mini-golf, comedian-showcase"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"An evening stand-up comedy show featuring a rotating lineup of NYC comics and rising talent. Expect comedians you've seen on HBO, Comedy Central, Netflix, Late Night TV, and more.",$23.24,2026-05-01,7:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-01-26-07-30-pm,"comedy, stand-up, comedian, humor, energetic, adults, laughs, late-night, rising-talent"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"An evening stand-up comedy show featuring a rotating lineup of NYC comics and rising talent. Expect comedians you've seen on HBO, Comedy Central, Netflix, Late Night TV, and more.",$23.24,2026-05-01,9:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-01-26-09-30-pm,"comedy, stand-up, comedian, energetic, rowdy, adults, groups, live-comedy, rotating-lineup"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"An evening stand-up comedy show featuring a rotating lineup of NYC comics and rising talent. Expect comedians you've seen on HBO, Comedy Central, Netflix, Late Night TV, and more.",$23.24,2026-05-02,7:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-02-26-07-30-pm,"comedy, stand-up, comedian, humor, energetic, adults, groups, live-comedy, rotating-lineup"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"An evening stand-up comedy show featuring a rotating lineup of NYC comics and rising talent. Expect comedians you've seen on HBO, Comedy Central, Netflix, Late Night TV, and more.",$23.24,2026-05-02,9:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-02-26-09-30-pm,"comedy, stand-up, comedian, humor, energetic, adults, laughs, NYC-comics, rotating-lineup"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$18.00,2026-04-30,7:00 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, humor, comedian, energetic, adults, groups, rotating-lineup, two-drink-minimum"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$18.00,2026-04-30,9:00 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, comedian, humor, casual, energetic, groups, adults, rotating-lineup, two-drink-minimum"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$18.00,2026-04-30,11:00 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, humor, comedian, energetic, adults, groups, rotating-lineup, two-drink-minimum"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$25.00,2026-05-01,6:45 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, humor, comedian, energetic, adults, groups, rotating-lineup, two-drink-minimum"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$25.00,2026-05-01,8:45 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, humor, comedian, energetic, adults, late-night, rotating-lineup, two-drink-minimum"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$25.00,2026-05-01,10:45 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, humor, comedian, energetic, groups, adults, rotating-lineup, two-drink-minimum"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$25.00,2026-05-02,6:45 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, comedian, humor, energetic, adults, groups, rotating-lineup, laughs"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$25.00,2026-05-02,8:45 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, humor, comedian, energetic, adults, groups, rotating-lineup, two-drink-minimum"
Comedy Cellar,Regular Show — Lineup Varies,A regularly scheduled stand-up comedy show at the Comedy Cellar featuring a rotating lineup of comedians. Two-item minimum per person applies.,$25.00,2026-05-02,10:45 PM,"117 MacDougal St, New York, NY 10012, USA",https://www.comedycellar.com/,"comedy, stand-up, comedian, humor, energetic, adults, laughs, rotating-lineup, two-drink-minimum"
Caveat,Ask a Fuckboy,Comedy show where comics tell unhinged dating stories and a panel of ‘fuckboys’ weighs in; hosted by Andrea Popova and Val Parker. A late-night comedy variety format combining storytelling and panel commentary.,N/A,2026-05-01,9:30 PM,"21 A Clinton St, New York, NY 10002, USA",https://www.eventbrite.com/e/ask-a-fuckboy-tickets-1782750818689,"comedy, stand-up, humor, panel, late-night, energetic, adults, dating-stories, unhinged-comedy"
Caveat,Immigrant Jam,Lucie Pohl’s Immigrant Jam — a showcase of immigrant and first-generation comedians delivering stand-up about cross-cultural life and identity; a monthly curated comedy night celebrating diverse voices.,N/A,2026-05-01,7:00 PM,"21 A Clinton St, New York, NY 10002, USA",https://www.eventbrite.com/e/immigrant-jam-tickets-1985590735340,"comedy, stand-up, humor, comedian, energetic, groups, immigrant-voices, cross-cultural, diverse-comedians"
Caveat,My Immortal LIVE,"A karaoke-style, semi-improvised staged reading of the infamous fanfiction ‘My Immortal,’ in which performers riff on the story and audience participation drives the chaos; hosted by Shannon Lippert.",N/A,2026-05-02,4:00 PM,"21 A Clinton St, New York, NY 10002, USA",https://www.eventbrite.com/e/my-immortal-live-tickets-1985736912560,"comedy, improv, unscripted, interactive, energetic, groups, adults, karaoke-fanfiction, audience-participation, semi-improvised"
Caveat,Tom D's Big New York Show,"Comedian Tom Delgado’s variety show blending NYC history, stand-up, trivia, and special guests with audience participation and prizes; a lively, city-themed comedy experience.",N/A,2026-05-02,7:00 PM,"21 A Clinton St, New York, NY 10002, USA",https://www.eventbrite.com/e/tom-ds-big-new-york-show-tickets-1985590887796,"comedy, stand-up, humor, interactive, energetic, groups, adults, NYC-history, variety-show, audience-participation"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"A bawdy, 21+ interactive comedy: one performer downs several shots and then attempts to perform Shakespeare’s Romeo & Juliet while the sober ensemble tries to keep the play on track. Expect audience interaction and adult humor; running time ~90 minutes.",N/A,2026-04-30,7:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.axs.com/events/1325090/drunk-shakespeare-romeo-and-juliet-tickets,"comedy, sketch, unscripted, interactive, rowdy, adults, energetic, drunk-shakespeare, audience-participation"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"A bawdy, 21+ interactive comedy: one performer downs several shots and then attempts to perform Shakespeare’s Romeo & Juliet while the sober ensemble tries to keep the play on track. Expect audience interaction and adult humor; running time ~90 minutes.",N/A,2026-05-01,8:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.axs.com/events/1325225/drunk-shakespeare-romeo-and-juliet-tickets,"comedy, sketch, interactive, rowdy, late-night, adults, audience-participation, drunk-shakespeare, shakespeare-parody"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"A bawdy, 21+ interactive comedy: one performer downs several shots and then attempts to perform Shakespeare’s Romeo & Juliet while the sober ensemble tries to keep the play on track. Expect audience interaction and adult humor; running time ~90 minutes.",N/A,2026-05-01,10:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.ticketsmarter.com/e/drunk-shakespeare-romeo-and-juliet-tickets-manhattan-new-york-5-1-2026-the-ruby-theatre/3295323,"comedy, sketch, interactive, rowdy, late-night, adults, audience-participation, drunk-shakespeare, shakespeare-comedy"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"A bawdy, 21+ interactive comedy: one performer downs several shots and then attempts to perform Shakespeare’s Romeo & Juliet while the sober ensemble tries to keep the play on track. Expect audience interaction and adult humor; running time ~90 minutes.",N/A,2026-05-02,5:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.axs.com/events/1325086/drunk-shakespeare-romeo-and-juliet-tickets,"comedy, sketch, unscripted, interactive, rowdy, adults, date-night, drunk-shakespeare, audience-participation"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"A bawdy, 21+ interactive comedy: one performer downs several shots and then attempts to perform Shakespeare’s Romeo & Juliet while the sober ensemble tries to keep the play on track. Expect audience interaction and adult humor; running time ~90 minutes.",N/A,2026-05-02,7:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.axs.com/events/1325073/drunk-shakespeare-romeo-and-juliet-tickets,"comedy, sketch, interactive, rowdy, energetic, adults, groups, drunk-shakespeare, audience-participation"
